Financial_ID,Date,Revenue,COGS,Operating_Expenses,Marketing_Expenses,Other_Expenses,Total_Expenses,Profit,Tax,Net_Profit
FIN0347,2025-12-13,913908,524570,191422,73489,17970,282881,106457,21291,85166
FIN0348,2025-12-14,721457,418225,144107,50626,22469,217202,86030,17206,68824
FIN0349,2025-12-15,618054,352261,114621,46355,11516,172492,93301,18660,74641
FIN0350,2025-12-16,615496,366638,123221,46519,12362,182102,66756,13351,53405
FIN0351,2025-12-17,749433,424920,154809,52127,17612,224548,99965,19993,79972
FIN0352,2025-12-18,672896,396797,124731,50663,16726,192120,83979,16795,67184
FIN0353,2025-12-19,766215,440565,153846,54440,21019,229305,96345,19269,77076
FIN0354,2025-12-20,857292,505103,171319,70091,23689,265099,87090,17418,69672
FIN0355,2025-12-21,691715,408004,119857,55107,21864,196828,86883,17376,69507
FIN0356,2025-12-22,771718,454450,151310,59812,15733,226855,90413,18082,72331
FIN0357,2025-12-23,701546,398049,136125,42757,21940,200822,102675,20535,82140
FIN0358,2025-12-24,605890,345078,110303,43965,14408,168676,92136,18427,73709
FIN0359,2025-12-25,639154,371040,127030,55999,19314,202343,65771,13154,52617
FIN0360,2025-12-26,589040,350648,109522,45253,18833,173608,64784,12956,51828
FIN0361,2025-12-27,883551,518002,155228,57603,27186,240017,125532,25106,100426
FIN0362,2025-12-28,825775,484988,160029,71041,22733,253803,86984,17396,69588
FIN0363,2025-12-29,660555,390060,112038,44518,17051,173607,96888,19377,77511
FIN0364,2025-12-30,646578,392520,135207,53753,18019,206979,47079,9415,37664
FIN0365,2025-12-31,740055,426162,131315,65132,21562,218009,95884,19176,76708
